siren,etatAdministratifUniteLegale,nomUniteLegale,nomUsageUniteLegale,denominationUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,dateDernierTraitementUniteLegale,caractereEmployeurUniteLegale,identifiantAssociationUniteLegale
005420021,A,,,ETABLISSEMENTS LUCIEN BIQUEZ,,,,2017-05-20T01:00:41,O,
005420120,A,,,SOCIETE DES SUCRERIES DU MARQUENTERRE,,,,2019-06-25T16:08:11,O,
005450093,A,,,BASALPINE AUTOCARS,,,,2019-06-24T13:04:20,O,
005520176,A,,,HERNAS CARTONNAGE,,,,2019-07-13T03:37:03,O,
005520242,A,,,PROSPA,,,,2019-06-24T13:04:20,O,
005520325,A,,,ETABLISSEMENTS ADRIEN RIQUIER,,,,2019-06-25T16:00:20,O,
005541552,A,,,ETABLISSEMENTS BONNET FRERES,,,,2020-02-18T03:55:26,O,
005580113,A,,,L'ABRI FAMILIAL,,,,2019-08-05T20:04:49,O,
005580436,A,,,BAUDINVEST,,,,2019-12-14T03:45:54,O,
005580501,A,,,SOCIETE DES GLACIERES ET FRIGORIFIQUES DE SAINT-NAZAIRE,STEF LOGISTIQUE,,,2019-02-25T03:37:32,O,
005620034,A,,,ETABLISSEMENTS ROGER,ETS ROGER BIG MAT,,,2019-06-24T13:04:20,O,
005620117,A,,,ETABLISSEMENTS DUBOIS,,,,2019-06-24T13:04:20,O,
005620174,A,,,SOCIETE RIQUIER ET CIE,,,,2019-06-24T13:04:20,O,
005620190,A,,,L'OISEAU BLEU,,,,2019-06-24T13:04:20,O,
005620422,A,,,ETABLISSEMENTS R. DEBRAY,,,,2011-12-04T03:00:23,O,
005650031,A,,,SARL RIGAULT ET CIE,,,,2019-06-24T13:04:20,O,
005650148,A,,,SCIC VALDURANCE HABITAT,,,,2019-08-07T03:47:46,O,
005680145,A,,,PROMENS MONTOIR DE BRETAGNE SAS,,,,2019-06-24T13:04:20,O,
005720164,A,,,SA SAINTE-ISABELLE,,,,2020-01-17T03:55:28,O,
005720552,A,,,LALLOT PICARDIE,,,,2019-06-24T13:04:21,O,
005720594,A,,,LES TRANSPORTS COMMERCIAUX,,,,2019-06-24T13:04:21,O,
005720610,A,,,PICARDIE MARITIME HABITAT FONDATION PAUL DUCLERCQ,PICARDIE MARITIME HABITAT,,,2019-09-28T04:01:35,O,
005720644,A,,,ETABLISSEMENTS DEMORTAIN,,,,2019-06-24T13:04:21,O,
005720685,A,,,FORGEZ PERE ET FILS,,,,2019-06-24T13:04:21,O,
005720784,A,,,ETABLISSEMENTS DECAYEUX,,,,2019-09-11T03:57:00,O,
005750153,A,,,TOURING HOTEL,,,,2019-06-24T13:04:21,O,
005750385,A,,,ENTREPRISE COMBA,,,,2019-06-24T13:04:21,O,
005750583,A,,,SERVICE ASSISTANCE TRANSCATIONS AUTO,,,,2019-06-24T13:04:21,O,
005780044,A,,,PEINTURES SYNTHETIQUES MODERNES,,,,2019-09-01T20:02:51,O,
005780226,A,,,SOC LES MEUBLES MARGUY,LONDON ANTIQUES,,,2017-05-20T01:00:42,O,
005780390,A,,,TRANSPORTS DE LA BRIERE,,,,2020-01-05T20:01:23,O,
005780960,A,,,SOCIETE IMMOBILIERE TOURISTIQUE ET HOTELIERE DE LA BAULE EN ABREGE SITH LA BAULE,,,,2019-06-24T13:04:21,O,
005781133,A,,,IDEA GROUPE,,,,2019-08-25T19:38:50,O,
005820360,A,,,DELOUBRIERE JULES SOC,,,,2009-06-27T03:06:30,O,
005820378,A,,,ENTREPRISE DEMOUSELLE,DEMOUSELLE,,,2020-01-05T20:01:23,O,
005820428,A,,,SOCIETE ANONYME DUCROCQ ET COMPAGNIE,,,,2019-06-24T13:04:21,O,
005820477,A,,,ETABLISSEMENTS RAOUL DAVERGNE,,,,2019-06-24T13:04:21,O,
005870027,A,,,HOTEL LA CONCORDE,,,,2019-06-24T13:04:21,O,
005873450,A,AUDUREAU,,,LE NEPTUNE,,,2019-06-24T13:04:21,O,
005880596,A,,,GEDIMO HOLDING,,,,2019-06-24T13:04:21,O,
005880679,A,,,SA COOPERATIVE D'INTERET COLLECTIF POURL'ACCESSION A LA PROPRIETE DE ST-NAZAIREET DE LA REGION DES PAYS DE LA LOIRE,,,,2019-08-07T09:52:18,O,
005920194,A,,,SARL BEAUVISAGE TOULLET,,,,2019-07-16T03:49:19,O,
005950159,A,,,SOCIETE BARNEAUD ET GIRAUD,,,,2019-12-05T09:37:38,O,
005980016,A,,,SOCIETE NAZAIRIENNE DE MECANIQUE,S N M,,,2019-11-03T20:02:26,O,
005980461,A,,,ENTREPRISE JUDIC,,,,2019-06-24T13:04:21,O,
006020010,A,,,ETABLISSEMENTS FROMENTIN,,,,2008-09-13T02:05:21,O,
006020135,A,,,TERNOIS FONDERIE,,,,2017-05-20T01:00:43,O,
006076434,A,,,ETABLISSEMENTS PIED ET PERRAUD,,,,2019-06-24T13:04:21,O,
006080170,A,,,COOP BREIZH,,,,2019-09-12T03:51:03,O,
006120109,A,,,DEGUERVILLE,DONALD,,,2017-05-20T01:00:43,O,
006141394,A,JAUBERT,GROSOS,,,,,2012-07-28T11:43:01,O,
006150148,A,,,LE DAHUT,,,,2019-06-24T13:04:21,O,
006180301,A,,,SOCIETE FINANCIERE ATLANTIC,,,,2019-09-13T08:31:35,O,
006220065,A,,,ENTREPRISES OSCAR SAVREUX,,,,2019-06-24T13:04:21,O,
006280309,A,,,COMPTOIR ATLANTIQUE DONGEOIS DE DISTRIBUTION ET D 'APPROVISIONNEMENTS DE CONSTRUCTION C.A.D.D.A.C.,,,,2020-02-14T14:05:53,O,
006320048,A,,,SOCIETE DE MOISMONT,,,,2019-08-05T20:04:49,O,
006341176,A,MONTAGNIER,ARNAUD,,HOTEL DU MIDI,,,2014-07-11T23:15:11,O,
006341945,A,CHABRAND,,,,,,2020-01-28T08:32:32,O,
006350037,A,,,PERTOSA FABRICATION,,,,2012-12-15T01:00:34,O,
006380042,A,,,LABORATOIRE NUTERGIA,,,,2019-06-24T13:04:21,O,
006380158,A,,,ESPACE DOMICILE SA HABITAT LOYER MODERE,,,,2019-07-16T03:56:48,O,
006380315,A,,,HORIZON AUTOMOBILES,,,,2019-08-05T20:04:49,O,
006450043,A,,,SOCIETE DE FABRICATION ALIMENTAIRE PROVENCALE SOFALIP,PERLAMANDE,,,2019-12-09T09:43:19,O,
006450225,A,,,LOU SAN PEYRE,,,,2018-05-08T03:58:54,O,
006474696,A,PEZERON,,,,,,2019-06-24T13:04:22,O,
006480065,A,,,TRANSPORTS MORAND FRIGORIFIQUES,TRANSPORTS MORAND,,,2020-01-24T11:39:50,O,
006480206,A,,,ETS GUILLET FRERES,KERISAC,,,2019-09-04T03:34:25,O,
006520126,A,,,SARL  LE GROS TILLEUL,,,,2019-06-24T13:04:22,O,
006520266,A,,,TRANSPORTS LEROY ET FILS,,,,2019-06-24T13:04:22,O,
006580161,A,,,SOCIETE DES PRODUITS EN BETON ET MATERIAUX DE CONSTRUCTION D'ENTRE LOIRE ET VILAINE,PRESQU'ILE MENUISERIES,,,2020-02-21T13:35:28,O,
006580195,A,,,SOCIETE INDUSTRIELLE POUR LE DEVELOPPEMENT DE LA SECURITE,,,,2019-08-05T20:04:49,O,
006610836,A,MARCHAND,,,,,,2019-11-01T08:32:31,O,
006620124,A,,,DECOUPAGE ET MOULAGE D'ELASTOMERES,,,,2019-09-01T20:02:52,O,
006640668,A,DOUMAS,BLANC,,,,,2020-01-08T11:37:36,O,
006650089,A,,,HABITATIONS DE HAUTE-PROVENCE,,,,2019-08-07T03:47:46,O,
006650097,A,,,DOMAINE DU VERDON,,,,2019-08-23T11:48:55,O,
006680219,A,,,CHATELLIER,BOULANGERIE CHATELLIER,,,2019-06-24T13:04:22,O,
006720049,A,,,BORFLEX SERVICES,,,,2020-01-07T19:35:14,O,
006720064,A,,,LE PALAIS DE L AUTOMOBILE ABBEVILLE,,,,2019-06-24T13:04:22,O,
006780514,A,,,SOCIETE FRANCAISE OUTILS PROFESSIONNELS,,,,2019-08-28T11:22:39,O,
006810303,A,CHABE,,,AU BONHEUR DES DAMES,,,2019-06-24T13:04:22,O,
006850093,A,,,MARMOTEL SA,,,,2017-05-20T01:00:49,O,
006850168,A,,,SA D'AMENAGEMENT TOURISTIQUE DE SELONNET,,,,2019-06-24T13:04:22,O,
006850234,A,,,ETABLISSEMENTS GARCIN FRERES,,,,2019-09-14T03:41:20,O,
006850259,A,,,SARL ETS MICHEL,,,,2019-06-24T13:04:22,O,
006874002,A,CHEDEMOIS,,,,,,2008-09-20T00:35:24,O,
006880066,A,,,CHAUDRONNERIE TOLERIE DE L'OUEST,,,,2007-04-21T10:35:03,O,
006950034,A,,,BOUCHERIE CHEVALINE CHANZY,,,,2019-06-24T13:04:22,O,
006950059,A,,,ENTREPRISE D'ANGELO,,,,2019-06-24T13:04:22,O,
006980239,A,,,ATELIERS DE LA PROVIDENCE,,,,2019-12-09T10:00:39,O,
006980395,A,,,L ETABLI GUERANDAIS STE,,,,2019-06-24T13:04:22,O,
007020134,A,,,GROUPE SOGAL,,,,2019-06-24T13:04:22,O,
007050040,A,,,CENTRE DES CARMES,,,,2019-11-26T09:27:33,O,
007050065,A,,,SOC EXPLOIT TRAVAUX PUBLICS,,,,2019-06-24T13:04:22,O,
007050123,A,,,SOCIETE DES ETABLISSEMENTS H. GUIGUES,,,,2020-02-01T04:05:09,O,
007050149,A,,,SARL DURANCE BETON,,,,2019-06-24T13:04:22,O,
007080013,A,,,SOCIETE COOPERATIVE MARITIME DU CROISIC,,,,2019-06-25T16:00:20,O,
007080021,A,,,SOCIETE COOPERATIVE D'APPROVISIONNEMENT DE L'OUEST,,,,2019-08-05T20:04:49,O,
007080039,A,,,BIJOUTERIE GAUCHER,,,,2019-06-24T13:04:22,O,
007080054,A,,,LOUIS HEMERY,,,,2019-08-05T20:04:49,O,
007080229,A,,,ENTREPRISE ROUAUD,,,,2019-06-28T03:35:59,O,
007080260,A,,,SAINT-NAZAIRE DISTRIBUTION,INTERMARCHE,,,2019-06-24T13:04:22,O,
